first_name,last_name,age,spending_score
Jennifer,Hernandez,20,75
Sarah,Martin,65,87
John,Martin,18,31
Nancy,Lee,61,44
Patricia,Moore,47,45
Charles,Moore,63,72
John,Martinez,36,56
Charles,Johnson,36,32
Nancy,Rodriguez,26,21
Michael,Wilson,24,31
Nancy,Jackson,63,1
William,Martinez,54,77
James,Thompson,67,11
Linda,Brown,58,93
Michael,Garcia,24,68
Karen,Wilson,26,36
Linda,Brown,21,79
James,Anderson,42,59
David,Thomas,66,67
Karen,Miller,29,56
Daniel,Taylor,23,51
Elizabeth,Jackson,35,29
John,Jackson,57,85
Michael,Taylor,38,2
Sarah,Garcia,32,6
Sarah,Hernandez,20,31
Nancy,Thomas,19,54
Thomas,Davis,58,88
Mary,Hernandez,57,40
James,Miller,21,17
Sarah,White,49,5
Susan,Perez,19,2
Robert,Jackson,63,58
Robert,Martinez,46,12
Daniel,Rodriguez,19,5
William,Brown,51,60
William,Thompson,44,41
John,Anderson,56,20
Charles,Gonzalez,61,72
Sarah,Johnson,55,1
Sarah,Johnson,35,56
John,Thomas,53,70
Nancy,Rodriguez,36,56
Margaret,Gonzalez,44,54
Lisa,Williams,62,11
Margaret,Rodriguez,37,3
James,Gonzalez,38,95
Margaret,Lee,40,28
Nancy,Perez,47,5
David,Johnson,42,90
Thomas,Davis,48,16
Linda,Rodriguez,44,31
Patricia,Thomas,51,28
Jennifer,Johnson,25,7
Linda,Garcia,36,9
Nancy,Perez,58,39
John,Davis,43,99
Sarah,Jones,45,43
John,Rodriguez,21,27
Karen,Smith,48,76
Jessica,Rodriguez,33,89
Karen,Martinez,68,93
Mary,Thompson,27,95
Lisa,Brown,55,98
John,Williams,65,33
Sarah,Martinez,27,91
William,Anderson,62,56
Patricia,Hernandez,26,2
James,Wilson,56,14
Patricia,Garcia,53,13
James,Lopez,68,24
Jessica,Gonzalez,53,69
Christopher,Taylor,36,34
Sarah,Thomas,36,87
Nancy,Williams,29,19
Margaret,Johnson,30,30
Linda,Hernandez,42,49
Michael,Rodriguez,53,43
John,Williams,42,16
Thomas,Moore,45,52
James,Martin,59,98
Sarah,Anderson,56,49
Susan,Wilson,47,11
Charles,Johnson,22,78
Lisa,Taylor,34,47
Daniel,Perez,35,79
Lisa,Davis,60,35
Jessica,Martinez,64,71
Jennifer,Moore,38,29
Jennifer,Jackson,39,54
Richard,Davis,56,86
Charles,Davis,67,23
Lisa,Williams,23,24
Linda,Williams,67,99
Mary,Lopez,33,10
Christopher,Perez,19,61
James,Taylor,68,8
Joseph,Brown,18,48
James,Taylor,47,76
Robert,Wilson,60,93
Sarah,Jackson,69,29
Charles,Rodriguez,54,87
Patricia,Lee,65,26
John,Lopez,40,37
Thomas,Jones,18,96
Thomas,Hernandez,36,52
Susan,Martin,63,38
Jessica,Williams,20,6
Christopher,Lee,19,8
Jennifer,Anderson,54,17
John,Wilson,34,76
William,Hernandez,45,62
Robert,Martin,35,86
Margaret,Davis,50,78
Thomas,Brown,32,34
Jessica,Lopez,39,19
Christopher,Davis,58,70
John,Garcia,44,82
James,Anderson,54,37
Nancy,Lopez,49,38
Christopher,Thomas,62,15
Daniel,Thomas,36,40
James,Lee,45,9
John,Martin,45,53
Karen,Martin,27,70
Elizabeth,Brown,37,66
Lisa,Hernandez,42,80
John,Gonzalez,38,52
Linda,Rodriguez,31,1
Jessica,Brown,39,30
Margaret,Lopez,43,97
Karen,Rodriguez,61,1
Joseph,Gonzalez,28,39
Lisa,Thomas,24,16
Daniel,Garcia,34,17
Mary,Martinez,35,82
Elizabeth,Gonzalez,24,22
Mary,Miller,37,86
Thomas,Jackson,55,99
Linda,White,28,31
James,Jackson,61,40
William,Taylor,33,27
David,Gonzalez,68,36
Lisa,Gonzalez,44,4
Sarah,Lee,68,69
Michael,Johnson,28,25
Elizabeth,Martinez,33,95
Daniel,Perez,40,78
John,Gonzalez,29,30
Karen,Rodriguez,57,47
Margaret,Smith,20,12
Richard,Wilson,19,27
Michael,Thomas,55,45
Patricia,Martin,65,88
Richard,Anderson,69,63
Nancy,Smith,41,55
James,Taylor,46,30
Linda,White,64,82
Jessica,Gonzalez,63,14
Sarah,Anderson,51,56
Jessica,Thomas,37,19
Susan,Thomas,35,86
Charles,Johnson,31,26
Daniel,Taylor,35,71
Joseph,Hernandez,19,92
Mary,Davis,18,38
Mary,Martin,37,69
Daniel,Williams,51,36
Lisa,Lopez,58,18
Charles,Martin,58,57
Lisa,Thomas,65,78
Lisa,Wilson,28,23
Thomas,Thomas,44,14
Nancy,Lee,40,96
Elizabeth,Taylor,55,69
Jennifer,Hernandez,61,22
Joseph,Taylor,20,28
Lisa,Jackson,29,43
David,Perez,47,76
Robert,Smith,48,18
James,Lopez,40,95
Linda,Anderson,18,77
Christopher,Moore,58,84
Susan,Thompson,37,36
Susan,Wilson,23,7
Robert,Smith,28,23
Michael,Gonzalez,52,34
Patricia,Anderson,21,96
Jennifer,Miller,46,21
Richard,Anderson,27,70
Nancy,Martin,68,80
Joseph,Martinez,46,99
John,Wilson,55,47
Daniel,Garcia,18,53
Linda,Wilson,57,84
Nancy,White,25,41
Sarah,Perez,55,75
Richard,Lopez,34,32
Karen,Hernandez,36,14
Elizabeth,Martin,50,88
Charles,Perez,32,95
Thomas,White,62,17
Margaret,Jackson,48,25
Charles,Johnson,38,64
Daniel,Perez,20,73
Robert,Martin,19,86
Christopher,Smith,52,48
Daniel,Davis,58,35
William,Wilson,33,37
Susan,Rodriguez,62,55
Christopher,Johnson,68,17
James,Thompson,67,28
James,Jones,38,1
Joseph,Thompson,29,53
Mary,Davis,45,73
Lisa,Thomas,29,55
Sarah,Perez,50,61
Linda,Thomas,37,13
Richard,Gonzalez,57,47
Christopher,Martin,66,64
James,Anderson,38,32
Sarah,Smith,69,28
Michael,Perez,56,53
Robert,Williams,58,31
Lisa,Garcia,66,8
Daniel,Perez,59,72
John,Wilson,53,98
Susan,Brown,39,87
Sarah,Moore,43,74
Charles,Anderson,24,25
Robert,Rodriguez,24,33
Lisa,Moore,25,68
Jessica,Williams,43,7
Robert,Martinez,41,97
Joseph,Taylor,41,66
Thomas,Miller,57,46
Jessica,Anderson,65,96
Nancy,Smith,29,5
Robert,Hernandez,64,17
Susan,Taylor,25,76
Sarah,Jones,26,52
Sarah,Miller,20,12
Christopher,Jackson,38,62
Michael,White,48,35
Patricia,Anderson,65,62
James,Williams,64,21
Robert,Anderson,41,85
Daniel,Jones,21,66
Elizabeth,Thompson,37,53
Lisa,Lopez,33,21
Robert,Martin,27,15
Patricia,Jones,60,75
Mary,Williams,43,74
Nancy,Rodriguez,46,82
Elizabeth,Rodriguez,22,23
Charles,Miller,28,31
James,Johnson,46,54
Margaret,Thompson,62,55
Robert,Thompson,32,26
Richard,Lee,23,53
Patricia,Thomas,65,66
Sarah,Rodriguez,32,39
Margaret,Gonzalez,60,7
Sarah,Jackson,37,88
Daniel,Martin,51,39
Mary,Taylor,19,32
Thomas,Garcia,61,26
Nancy,Brown,33,87
Margaret,Smith,36,78
Susan,Moore,51,29
Karen,Jackson,66,25
John,Rodriguez,31,56
James,Gonzalez,41,31
James,Davis,45,66
Charles,Thompson,65,2
David,Gonzalez,49,87
Robert,Anderson,54,47
Susan,Hernandez,27,75
John,Lopez,66,29
James,Wilson,62,99
James,Brown,65,49
Linda,Smith,26,73
Elizabeth,White,41,32
David,Brown,53,30
Susan,Jackson,46,15
Richard,Rodriguez,46,62
Susan,Martinez,65,78
Jessica,Brown,40,17
Mary,Martin,44,22
Charles,Rodriguez,48,30
Karen,Gonzalez,60,81
John,Lopez,24,16
Daniel,Hernandez,66,52
Thomas,Lopez,62,8
Linda,Moore,21,64
Elizabeth,Lopez,31,39
Mary,Thomas,59,31
Charles,Jones,59,12
William,Martin,27,33
Michael,Lopez,61,58
Patricia,Lee,51,12
Christopher,Hernandez,43,25
Karen,Rodriguez,40,38
Richard,Moore,26,48
David,Williams,54,82
Margaret,Martin,25,83
Patricia,Taylor,31,55
Christopher,Wilson,24,3
Patricia,Smith,24,99
Elizabeth,Taylor,26,69
Robert,Davis,20,35
William,Jones,31,51
Margaret,Jones,34,27
John,Rodriguez,67,37
Thomas,Williams,61,85
John,Jackson,39,16
Sarah,Thompson,63,92
Patricia,Rodriguez,43,25
Karen,Perez,45,33
Thomas,Moore,62,62
Michael,Thomas,31,17
Margaret,Smith,26,43
Daniel,Johnson,68,30
Robert,Wilson,43,41
Susan,Wilson,19,4
Thomas,Smith,28,66
Daniel,Thomas,34,60
Richard,Anderson,51,9
Daniel,Anderson,36,31
John,Lopez,56,89
William,Thomas,35,69
Thomas,Wilson,30,24
Thomas,White,22,24
Nancy,Anderson,67,93
Sarah,Thompson,40,45
Lisa,Anderson,41,95
Richard,Jackson,46,37
Charles,Davis,65,58
Thomas,Johnson,64,83
Patricia,Johnson,25,23
Susan,Martinez,43,35
William,Williams,32,63
Charles,Thompson,18,6
Susan,Taylor,45,6
William,Davis,66,30
Michael,Thompson,64,1
Jessica,Brown,63,63
Nancy,Wilson,31,8
Charles,Lee,59,28
Joseph,Martinez,51,89
Sarah,Smith,48,33
Christopher,Brown,23,53
Robert,Smith,66,38
John,Taylor,22,52
Susan,Taylor,48,78
Nancy,Miller,54,11
Christopher,Thompson,32,2
Patricia,Martin,32,53
Christopher,Anderson,69,94
Daniel,Gonzalez,60,94
Sarah,Johnson,22,68
Michael,Jackson,45,77
Richard,White,50,7
Christopher,Gonzalez,28,67
Elizabeth,White,60,9
Michael,Hernandez,23,78
Jessica,Perez,40,63
Robert,Anderson,57,11
John,Martinez,19,37
Daniel,Rodriguez,32,14
David,Rodriguez,40,19
David,Martin,39,8
Karen,Smith,26,7
Joseph,Taylor,64,59
Susan,Lopez,57,63
William,Martinez,47,7
Elizabeth,Jones,33,55
Susan,Moore,63,3
Thomas,Anderson,64,67
Jennifer,Garcia,69,18
Michael,Miller,47,45
Jessica,Taylor,62,97
Richard,Garcia,26,92
Linda,Davis,18,36
Elizabeth,Lopez,55,16
William,Lee,25,79
Karen,Wilson,69,29
Mary,Lopez,35,59
Robert,Thompson,44,18
Robert,Martinez,35,49
Jennifer,Perez,49,46
Charles,Martin,66,83
Linda,Anderson,49,29
Sarah,Miller,65,70
Richard,Rodriguez,62,50
James,Martinez,53,55
Lisa,Martinez,53,27
Nancy,Thomas,38,7
Thomas,Miller,63,91
Michael,Jones,49,83
Richard,Thompson,48,81
Patricia,Williams,54,41
Patricia,Moore,33,11
Jennifer,Hernandez,63,5
Charles,Anderson,63,66
Susan,Lee,31,56
Lisa,Martin,41,12
Michael,Jones,42,42
Elizabeth,White,63,75
Charles,Lopez,68,10
Michael,Brown,52,28
John,Anderson,34,7
Richard,Rodriguez,63,14
Richard,Miller,59,77
Karen,Martinez,62,69
Nancy,Thompson,21,61
Linda,Gonzalez,28,51
William,Davis,64,42
Michael,Lopez,32,8
James,Perez,47,50
John,White,41,1
Richard,Jackson,19,69
Thomas,Smith,60,11
Margaret,Thomas,51,48
James,Perez,40,10
Jennifer,Taylor,48,15
Christopher,Moore,54,47
Jennifer,Hernandez,30,93
Susan,Moore,50,25
Richard,Miller,24,6
Richard,Moore,49,11
Joseph,Davis,24,17
Christopher,Garcia,59,15
Sarah,Miller,55,16
Lisa,Thompson,69,56
Christopher,Perez,61,66
David,Martinez,30,36
Robert,Hernandez,41,83
Patricia,Gonzalez,45,38
John,Rodriguez,49,85
Charles,Miller,60,75
Nancy,Rodriguez,35,3
Karen,Gonzalez,51,98
Joseph,Williams,65,18
William,Williams,51,79
Thomas,Smith,68,89
Jessica,Lee,55,54
Joseph,Martin,18,79
James,Johnson,60,94
Christopher,Williams,67,17
Lisa,Anderson,59,82
Lisa,White,48,95
John,Garcia,67,82
Sarah,Gonzalez,18,99
Daniel,Lee,68,13
David,Smith,33,63
Susan,Martin,56,14
Elizabeth,Jackson,32,59
Sarah,Smith,50,36
Linda,Lee,40,18
Jennifer,Perez,58,5
Susan,Johnson,51,14
Margaret,Anderson,34,25
Christopher,Wilson,42,44
Linda,Jackson,59,39
Patricia,Hernandez,23,12
Linda,Anderson,48,61
Karen,Garcia,22,62
Robert,Martin,57,53
William,Rodriguez,57,53
Patricia,Jones,47,28
Lisa,Martin,22,35
Thomas,Johnson,29,65
William,Garcia,24,3
James,Moore,62,43
Christopher,Thompson,30,50
Nancy,Jackson,66,71
Richard,Rodriguez,21,9
Sarah,Lee,67,36
Richard,White,59,23
Jessica,Garcia,20,88
John,Wilson,29,74
Jennifer,White,18,50
Karen,Gonzalez,44,55
Charles,Hernandez,60,12
Robert,Lopez,67,83
Joseph,Jackson,30,32
Mary,Jackson,34,24
Elizabeth,Lee,25,86
Margaret,Jackson,49,67
Karen,White,37,27
Richard,Gonzalez,68,61
Robert,Wilson,34,19
Daniel,White,51,73
Margaret,Moore,52,51
James,Lopez,52,64
Lisa,Brown,55,77
James,Martinez,59,2
Karen,Taylor,41,36
Joseph,Brown,35,93
Thomas,Lopez,67,11
David,Gonzalez,63,98
Christopher,Brown,65,68
Lisa,Martinez,56,68
Thomas,Williams,50,64
Richard,Anderson,66,1
James,Johnson,40,89
Mary,Taylor,42,26
William,Garcia,54,11
John,Davis,44,87
James,Williams,18,2
Christopher,Moore,38,83
Sarah,Perez,66,93
Daniel,Smith,27,40
Jennifer,Thomas,48,4
Thomas,Miller,61,80
Robert,Williams,42,37
Robert,Thompson,37,61
Jennifer,Brown,19,91
John,Rodriguez,65,5
Christopher,Jones,32,15
Daniel,Jackson,45,87
Robert,Anderson,30,67
Christopher,Davis,67,82
Robert,Garcia,69,26
Elizabeth,Moore,31,6
Elizabeth,Jackson,67,44
Charles,White,19,58
Thomas,Anderson,51,81
Christopher,Miller,52,46
Jessica,Martinez,54,42
William,Garcia,42,48
Jessica,Wilson,65,27
James,Taylor,32,20
Charles,Rodriguez,29,70
Richard,Jackson,26,35
Richard,Jones,48,76
Patricia,Thompson,31,48
James,Miller,46,67
Thomas,Jackson,65,68
Linda,Martin,60,52
Mary,Miller,55,68
Linda,White,59,4
Michael,Johnson,25,39
Mary,Thompson,65,21
Lisa,Thomas,20,66
Lisa,Gonzalez,19,16
John,Davis,33,7
Karen,Garcia,36,83
Susan,Garcia,47,97
James,Rodriguez,58,9
Lisa,Brown,33,17
Susan,Hernandez,48,91
Robert,Jones,45,97
Thomas,Taylor,21,12
Sarah,Martin,27,57
Joseph,Miller,68,45
Daniel,Anderson,62,11
Joseph,Anderson,35,13
Robert,Wilson,64,31
Christopher,Gonzalez,49,77
Jessica,Hernandez,47,26
Mary,Gonzalez,53,63
David,Perez,26,31
Charles,White,53,22
Michael,Rodriguez,46,6
Jennifer,Martinez,33,20
Mary,Brown,45,85
Jennifer,Taylor,38,10
Karen,Wilson,64,83
Mary,White,19,35
Karen,Moore,63,26
Joseph,Hernandez,52,71
Charles,Thomas,45,37
Mary,Smith,53,8
Nancy,Miller,48,5
Jennifer,Martinez,50,44
James,Rodriguez,40,92
Margaret,Williams,58,67
Joseph,Perez,34,72
Daniel,Thompson,63,79
Elizabeth,Wilson,66,91
Charles,Anderson,18,49
Thomas,Johnson,59,36
Robert,White,40,80
Patricia,Wilson,65,26
Elizabeth,Thomas,44,45
Margaret,Miller,42,61
Thomas,Brown,49,44
Elizabeth,Moore,36,4
Thomas,White,41,76
Nancy,Jones,20,81
Margaret,Garcia,29,58
Robert,Miller,52,26
Mary,Anderson,32,95
Jennifer,Smith,34,79
Christopher,White,67,98
Mary,Brown,49,29
Richard,Smith,24,9
David,Hernandez,36,78
David,Moore,24,36
Sarah,Wilson,22,4
David,Perez,57,59
Charles,Hernandez,38,37
Joseph,Martinez,65,88
Daniel,Taylor,65,81
Daniel,Brown,68,13
Sarah,White,64,20
David,Anderson,24,17
Lisa,Thomas,54,51
Sarah,Lee,40,91
Linda,Gonzalez,28,55
Patricia,Rodriguez,27,33
Linda,Hernandez,38,21
Patricia,Hernandez,58,81
Margaret,Garcia,50,22
John,Smith,37,25
John,Perez,50,67
Karen,Garcia,57,91
Charles,Gonzalez,52,91
Charles,Perez,51,12
Christopher,White,53,15
Robert,Perez,44,84
Karen,Jones,36,86
Elizabeth,Anderson,60,2
Lisa,Moore,22,4
Christopher,Martin,46,45
Jennifer,Wilson,27,13
James,Anderson,57,55
Robert,Jones,30,32
William,Brown,46,22
Susan,Johnson,22,89
Jessica,Miller,29,91
Mary,Martinez,30,55
Thomas,Thomas,39,17
Jessica,Martinez,57,70
Richard,Moore,32,51
William,Taylor,30,80
Joseph,Lee,18,8
Lisa,Gonzalez,55,61
Joseph,Smith,60,97
Margaret,Smith,62,10
David,Anderson,69,98
Sarah,Smith,18,19
Thomas,Garcia,28,14
Patricia,Gonzalez,60,67
James,Smith,57,55
Linda,Jones,39,61
Thomas,Rodriguez,52,56
John,Taylor,68,63
Nancy,Thomas,61,87
Joseph,Davis,23,11
Joseph,Taylor,45,47
Margaret,Anderson,48,6
Lisa,White,25,34
Jessica,Smith,22,65
Daniel,Lopez,59,99
Jessica,Jones,65,89
Margaret,White,61,64
Mary,Garcia,34,93
Richard,Smith,55,87
Jessica,Smith,26,82
Margaret,Martinez,27,78
Charles,Martinez,37,81
Michael,Williams,31,66
John,Taylor,31,31
Joseph,Jackson,43,83
Daniel,Hernandez,46,96
Jessica,Moore,66,62
David,Johnson,44,54
Joseph,Rodriguez,42,92
Richard,White,33,8
Karen,Taylor,53,42
Jennifer,Wilson,51,41
John,Brown,33,59
Charles,Taylor,50,40
Joseph,Taylor,20,22
Daniel,Lopez,40,24
Robert,Martin,28,38
Elizabeth,Moore,65,2
Michael,Williams,35,41
Thomas,Hernandez,64,19
Michael,Moore,58,2
Lisa,Brown,61,92
Susan,Taylor,46,96
Thomas,Moore,67,62
Richard,Jones,22,83
Nancy,Wilson,41,16
Patricia,Martinez,46,94
Elizabeth,Anderson,46,22
John,Smith,43,14
William,Thomas,57,56
Richard,Hernandez,20,65
Karen,Thompson,19,45
Joseph,Martin,42,54
Patricia,Garcia,36,66
Joseph,White,57,86
Lisa,Perez,19,46
Mary,Thomas,36,33
Joseph,Johnson,18,79
Linda,Smith,44,50
Linda,White,62,22
Thomas,White,69,40
Susan,Rodriguez,66,39
Charles,Perez,52,41
Elizabeth,Lopez,58,75
William,Taylor,22,68
Robert,Anderson,55,7
Jennifer,Jackson,21,85
Nancy,Perez,34,71
Mary,Martinez,38,4
Margaret,Lopez,65,76
Richard,Wilson,48,91
Jennifer,Rodriguez,65,59
Robert,Gonzalez,39,81
James,Williams,28,84
Christopher,Lee,51,95
Lisa,Wilson,66,26
Christopher,Lee,32,31
Jennifer,Martinez,67,99
Jennifer,Thomas,27,73
Daniel,Miller,55,69
Sarah,Brown,49,52
Patricia,Martin,65,72
David,Thompson,48,21
Margaret,Hernandez,54,16
Daniel,Thomas,61,51
William,Martin,45,16
Daniel,Brown,48,18
John,Perez,23,47
Charles,Perez,31,56
Linda,Thompson,40,28
Robert,Taylor,33,82
Patricia,Gonzalez,42,78
Margaret,Hernandez,56,56
Jennifer,Williams,19,37
Mary,Rodriguez,55,16
Nancy,Garcia,58,85
David,Perez,56,65
Patricia,Lee,51,60
Joseph,Hernandez,68,61
Jennifer,Thomas,57,11
Lisa,Jackson,60,75
Thomas,Jones,42,66
Margaret,Wilson,53,32
Jennifer,Taylor,33,19
Charles,Williams,35,56
Mary,Brown,30,5
Joseph,Thomas,54,3
David,Thomas,44,28
Linda,Lee,51,90
Charles,Brown,28,87
Richard,Jackson,18,94
Susan,Taylor,30,72
Robert,Gonzalez,47,29
Jennifer,Perez,22,77
Lisa,Thompson,35,59
Patricia,White,31,25
Charles,Smith,30,22
Nancy,Lopez,49,97
James,Brown,24,71
Nancy,Hernandez,25,23
Thomas,Jones,67,70
Susan,Johnson,24,79
Joseph,Taylor,69,79
James,Davis,66,40
Jessica,Garcia,33,98
Jennifer,Lee,60,14
Robert,Rodriguez,48,29
David,Gonzalez,68,16
Patricia,Hernandez,44,93
Richard,Thomas,50,87
David,Thomas,46,10
John,Johnson,25,47
James,Martinez,50,4
Jennifer,Lopez,58,12
Karen,Davis,36,42
Margaret,Hernandez,38,98
Elizabeth,Martinez,58,4
Robert,Gonzalez,38,84
Daniel,Taylor,42,92
Elizabeth,Miller,59,92
Susan,White,40,6
Mary,Williams,28,14
Richard,Martin,50,35
Linda,Gonzalez,37,47
Mary,Jackson,42,58
Nancy,Miller,43,65
James,Rodriguez,57,19
Robert,Jackson,69,57
William,Gonzalez,29,65
Thomas,Perez,49,13
William,Davis,50,8
David,Perez,27,18
Joseph,Moore,21,35
Margaret,Thompson,32,87
Jennifer,Johnson,68,26
Daniel,Moore,23,38
John,Moore,44,84
Thomas,Hernandez,22,66
Robert,Smith,22,26
Susan,Wilson,35,57
Karen,Thomas,45,25
Jessica,Hernandez,52,30
Christopher,Smith,39,82
Margaret,Miller,51,7
David,Thomas,21,27
William,Wilson,35,11
Mary,Anderson,58,8
Susan,Wilson,68,11
John,Lee,43,88
John,Hernandez,59,30
James,Thomas,39,94
Linda,Jackson,64,15
Lisa,Taylor,50,56
Linda,Garcia,60,35
David,Hernandez,31,39
William,Taylor,48,24
Robert,Rodriguez,27,8
Jessica,Moore,68,43
John,Taylor,41,42
Christopher,Lopez,38,84
Robert,Thompson,65,41
Robert,Perez,25,47
Charles,Perez,49,26
Jessica,Jones,48,52
Patricia,Hernandez,51,88
Richard,Brown,40,22
Elizabeth,Brown,42,5
Karen,Williams,24,15
Linda,White,36,36
Linda,Thompson,24,63
Michael,Taylor,64,93
Linda,Miller,25,79
Jessica,Brown,31,91
Charles,Thompson,18,49
Jennifer,Gonzalez,30,55
James,Lopez,20,72
